angle,expected_cos,actual_cos,expected_sin,actual_sin
 15015,  9968,  9970, 13001, 12999
-19274,  6299,  6295,-15127,-15127
  4028, 15889, 15893,  3994,  3986
  2568, 16183, 16183,  2557,  2561
  7050, 14891, 14891,  6835,  6833
-15235,  9794,  9796,-13131,-13129
-12104, 12110, 12112,-11032,-11032
 12392, 11918, 11918, 11243, 11243
 -9933, 13462, 13466, -9335, -9339
 20000,  5617,  5619, 15389, 15389
  2526, 16191, 16191,  2513,  2513
-18500,  7011,  7005,-14813,-14815
-25611,   123,   125,-16383,-16383
  9491, 13709, 13709,  8968,  8968
-20002,  5610,  5614,-15391,-15389
  4092, 15876, 15876,  4050,  4050
 17306,  8059,  8059, 14264, 14264
  1498, 16315, 16315,  1496,  1496
 18186,  7284,  7284, 14675, 14675
 11516, 12501, 12501, 10591, 10591
-18170,  7301,  7299,-14669,-14669
 24236,  1496,  1496, 16315, 16315
 -4829, 15681, 15672, -4764, -4754
 11690, 12387, 12387, 10724, 10724
-18629,  6890,  6888,-14867,-14867
 22233,  3474,  3480, 16010, 16008
-25520,   219,   215,-16383,-16383
 10121, 13355, 13355,  9489,  9489
 10417, 13182, 13182,  9727,  9727
-15813,  9318,  9326,-13470,-13468
  4698, 15716, 15716,  4632,  4632
-21537,  4153,  4155,-15850,-15848
  2518, 16191, 16191,  2511,  2507
 11676, 12397, 12397, 10712, 10712
  9840, 13516, 13514,  9259,  9261
  7743, 14587, 14591,  7462,  7454
 18204,  7268,  7268, 14683, 14683
 16433,  8808,  8814, 13813, 13809
  6360, 15165, 15165,  6200,  6202
 -1378, 16324, 16330, -1372, -1384
-10018, 13410, 13412, -9407, -9407
 14470, 10395, 10395, 12662, 12662
 23209,  2513,  2513, 16191, 16191
  9056, 13943, 13943,  8602,  8602
 15539,  9553,  9553, 13311, 13311
 22403,  3310,  3312, 16042, 16042
-15392,  9664,  9668,-13224,-13222
  9816, 13530, 13528,  9239,  9241
 25479,   256,   262, 16378, 16378
-18454,  7041,  7041,-14792,-14788
 -8703, 14123, 14125, -8300, -8296
   335, 16378, 16378,   338,   336
-22627,  3086,  3092,-16089,-16089
  7958, 14488, 14490,  7651,  7647
 -7336, 14769, 14769, -7093, -7093
  3687, 15968, 15968,  3654,  3658
 -4964, 15639, 15637, -4888, -4888
 -4519, 15766, 15766, -4462, -4462
 25385,   352,   352, 16378, 16378
 10325, 13236, 13234,  9653,  9657
 11697, 12381, 12385, 10732, 10726
 16160,  9036,  9040, 13664, 13662
 12609, 11766, 11766, 11401, 11401
  3714, 15962, 15962,  3682,  3684
-16629,  8645,  8645,-13917,-13919
 18384,  7106,  7106, 14762, 14762
  4430, 15787, 15787,  4378,  4378
  6317, 15182, 15182,  6162,  6160
-16056,  9121,  9125,-13604,-13602
-16818,  8483,  8481,-14017,-14017
 -2300, 16224, 16224, -2289, -2293
 22279,  3426,  3434, 16020, 16016
 15320,  9725,  9725, 13184, 13184
-11796, 12311, 12317,-10804,-10802
 24624,  1112,  1110, 16346, 16346
-18690,  6834,  6830,-14893,-14893
 -8711, 14113, 14121, -8308, -8302
 21578,  4110,  4110, 15861, 15861
 11856, 12278, 12278, 10850, 10850
 11667, 12401, 12403, 10708, 10706
-17690,  7726,  7724,-14450,-14450
-11496, 12512, 12514,-10575,-10575
 24504,  1228,  1226, 16340, 16340
  8168, 14390, 14390,  7835,  7833
-24352,  1373,  1381,-16321,-16321
 -6323, 15185, 15185, -6169, -6169
  6464, 15123, 15127,  6300,  6294
 21041,  4630,  4630, 15716, 15716
 20383,  5255,  5257, 15516, 15516
-14061, 10707, 10709,-12397,-12397
-13585, 11069, 11067,-12083,-12083
 13381, 11215, 11219, 11944, 11940
 -4952, 15635, 15639, -4876, -4874
 25345,   388,   394, 16376, 16376
 -7198, 14828, 14828, -6973, -6965
  5902, 15333, 15333,  5773,  5773
-18534,  6977,  6973,-14827,-14827
  3175, 16077, 16077,  3155,  3155
  5192, 15569, 15569,  5105,  5103
-11248, 12667, 12669,-10389,-10383
-18852,  6680,  6682,-14957,-14957
 24050,  1682,  1684, 16297, 16297
 16520,  8738,  8732, 13860, 13864
 21480,  4210,  4210, 15834, 15834
 11836, 12290, 12290, 10838, 10838
 15161,  9852,  9856, 13089, 13087
 17549,  7849,  7847, 14382, 14382
  4029, 15889, 15893,  3994,  3986
 16898,  8412,  8412, 14059, 14059
  2606, 16177, 16177,  2595,  2595
 -4724, 15704, 15706, -4658, -4658
 20762,  4894,  4894, 15634, 15634
 -9682, 13606, 13604, -9130, -9130
 -9572, 13670, 13666, -9038, -9038
 14102, 10678, 10678, 12425, 12425
 16079,  9106,  9106, 13618, 13618
 20195,  5429,  5435, 15457, 15455
  4375, 15801, 15801,  4324,  4324
 -3064, 16097, 16097, -3045, -3045
 23397,  2325,  2335, 16217, 16215
-21318,  4359,  4363,-15791,-15791
 -4570, 15744, 15746, -4508, -4506
 -4755, 15696, 15698, -4692, -4688
 21099,  4572,  4572, 15732, 15732
-12901, 11568, 11562,-11608,-11610
 -6595, 15073, 15077, -6420, -6420
 18652,  6865,  6863, 14877, 14877
 -7442, 14727, 14725, -7191, -7191
 13133, 11399, 11399, 11768, 11768
-21966,  3741,  3737,-15952,-15952
-16767,  8533,  8527,-13989,-13991
-11545, 12484, 12482,-10615,-10611
  1270, 16331, 16331,  1266,  1274
-20174,  5454,  5454,-15449,-15447
 12267, 12001, 12003, 11154, 11152
 19366,  6208,  6208, 15163, 15163
 10626, 13055, 13055,  9896,  9896
  2092, 16250, 16250,  2088,  2090
 22579,  3137,  3137, 16081, 16081
 19246,  6319,  6321, 15116, 15116
-21271,  4405,  4409,-15777,-15777
 -3403, 16031, 16033, -3377, -3379
  9448, 13733, 13731,  8934,  8936
 14259, 10561, 10561, 12527, 12527
 -4763, 15690, 15694, -4694, -4694
  5392, 15504, 15504,  5293,  5293
 -4206, 15849, 15845, -4164, -4158
 -1535, 16314, 16314, -1532, -1534
 -5624, 15432, 15430, -5514, -5514
 -4666, 15719, 15721, -4602, -4600
  6255, 15204, 15204,  6104,  6104
 23856,  1874,  1874, 16276, 16276
 11742, 12354, 12354, 10762, 10762
-17861,  7576,  7576,-14528,-14528
-24305,  1421,  1429,-16319,-16319
 14199, 10605, 10605, 12489, 12489
-19200,  6366,  6364,-15098,-15098
-17311,  8054,  8056,-14264,-14264
 13211, 11339, 11339, 11826, 11826
-10170, 13321, 13323, -9529, -9529
 -9024, 13954, 13958, -8575, -8569
 19149,  6411,  6411, 15078, 15078
  3833, 15937, 15937,  3798,  3798
  2384, 16211, 16209,  2373,  2379
 13790, 10916, 10912, 12218, 12222
 12430, 11891, 11891, 11273, 11273
-13414, 11201, 11193,-11965,-11967
 16540,  8718,  8716, 13872, 13874
  1443, 16317, 16317,  1446,  1446
 -8877, 14040, 14038, -8453, -8447
  6087, 15266, 15268,  5949,  5945
 14260, 10557, 10561, 12529, 12527
 20256,  5375,  5377, 15475, 15475
  -758, 16372, 16370,  -762,  -762
 12056, 12144, 12148, 11000, 10994
 -7520, 14690, 14690, -7257, -7257
 18154,  7312,  7312, 14661, 14661
-17504,  7898,  7890,-14360,-14360
 -1547, 16312, 16314, -1544, -1548
-21537,  4153,  4155,-15850,-15848
 -3764, 15949, 15951, -3731, -3731
 14679, 10239, 10235, 12794, 12796
 -7720, 14598, 14598, -7441, -7435
-24835,   899,   901,-16357,-16357
  3856, 15931, 15931,  3822,  3822
  1080, 16348, 16348,  1082,  1082
 -2011, 16257, 16261, -2006, -2004
  9094, 13921, 13925,  8636,  8630
 24222,  1512,  1518, 16311, 16311
-25406,   327,   329,-16378,-16378
 14795, 10147, 10147, 12862, 12862
 -6027, 15287, 15291, -5892, -5892
 -5020, 15621, 15617, -4946, -4938
 17652,  7757,  7757, 14428, 14428
 16442,  8802,  8808, 13817, 13813
  2925, 16122, 16122,  2911,  2911
  1544, 16309, 16309,  1542,  1548
-14301, 10525, 10527,-12553,-12553
-19483,  6097,  6101,-15206,-15204
 22020,  3682,  3684, 15962, 15962
 -9680, 13610, 13606, -9128, -9128
 15808,  9327,  9331, 13468, 13466
 14593, 10301, 10301, 12740, 12740
 -8674, 14141, 14143, -8276, -8274
 -9418, 13757, 13751, -8910, -8912
 10627, 13055, 13055,  9896,  9896
 11589, 12453, 12453, 10646, 10646
  2520, 16191, 16191,  2511,  2511
 10895, 12892, 12894, 10111, 10109
-24980,   755,   755,-16363,-16363
 19091,  6463,  6463, 15054, 15054
 11813, 12304, 12310, 10820, 10814
 10308, 13246, 13242,  9639,  9645
 15719,  9403,  9405, 13416, 13414
  6612, 15066, 15066,  6435,  6435
 24710,  1026,  1026, 16352, 16352
-16980,  8348,  8344,-14098,-14100
  1630, 16303, 16303,  1626,  1626
 13848, 10872, 10872, 12258, 12258
  6863, 14970, 14970,  6661,  6661
 23331,  2399,  2401, 16205, 16205
 15733,  9391,  9391, 13424, 13424
-17438,  7942,  7944,-14326,-14326
 -9290, 13825, 13821, -8800, -8806
 25159,   576,   578, 16372, 16372
-13883, 10841, 10845,-12280,-12280
-20735,  4925,  4925,-15626,-15626
 10997, 12830, 12832, 10191, 10189
